Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,381,1844.836556,7768.7508,5693.811291
,,,,,,,,382,1804.618983,7478.031341,5418.828102
,,,,,,,,383,1667.097301,7262.463384,5119.055347
,,,,,,,,384,1720.717691,7031.627287,5267.285018
,,,,,,,,385,1688.976277,6789.559461,5014.608491
,,,,,,,,386,1476.916574,6509.086042,5162.092214
,,,,,,,,387,1407.699217,6368.210848,4906.516981
,,,,,,,,388,1409.198836,6353.312542,4789.663615
,,,,,,,,389,1445.146177,6466.364468,4924.863935
,,,,,,,,390,1528.939445,6845.600515,5290.861662
,,,,,,,,391,1709.742487,7456.399691,6028.009518
,,,,,,,,392,1782.512587,8138.263067,6217.126194
,,,,,,,,393,1746.09188,9175.559513,6306.079732
,,,,,,,,394,1618.870362,9535.804223,6131.775523
,,,,,,,,395,1618.183413,9745.422581,6030.698771
,,,,,,,,396,1485.836201,10021.61525,5700.217487
,,,,,,,,397,1412.738501,10305.41266,5581.019661
,,,,,,,,398,1504.247721,10754.61493,5546.067924
,,,,,,,,399,1622.994086,11062.98848,5682.810433
,,,,,,,,400,1699.932649,11420.98975,5955.113914
,,,,,,,,401,1753.759026,11386.95855,6087.783923
,,,,,,,,402,1790.456327,10623.24266,6019.566586
,,,,,,,,403,1764.503181,9783.415155,5894.254659
,,,,,,,,404,1774.826424,9495.107661,5835.694271
,,,,,,,,405,1885.869587,8834.440944,5860.279369
,,,,,,,,406,1812.371297,8219.14311,5444.056102
,,,,,,,,407,1667.073315,7731.454411,5124.606905
,,,,,,,,408,1689.357482,7289.33002,5305.920662
,,,,,,,,409,1637.555814,6942.722271,4953.924769
,,,,,,,,410,1445.114369,6577.95967,5173.667963
,,,,,,,,411,1380.654444,6434.229789,4890.914339
,,,,,,,,412,1348.326986,6434.828896,4800.948887
,,,,,,,,413,1372.986999,6577.429393,4897.437678
,,,,,,,,414,1450.369952,7050.20001,5300.114263
,,,,,,,,415,1658.919611,7860.928909,6011.242531
,,,,,,,,416,1843.20686,9228.512589,6316.031346
,,,,,,,,417,1942.859107,10620.39214,6524.278844
,,,,,,,,418,1964.529317,11389.29935,6567.116388
,,,,,,,,419,2048.89599,11813.52938,6471.235855
,,,,,,,,420,1953.49343,12304.69778,6299.681974
,,,,,,,,421,2047.120104,12958.4871,6266.774116
,,,,,,,,422,2187.176074,13443.07139,6265.057078
,,,,,,,,423,2321.462827,13761.04863,6260.242378
,,,,,,,,424,2511.650071,14159.68474,6469.659514
,,,,,,,,425,2673.714415,14255.30012,6592.996306
,,,,,,,,426,2778.701668,13900.20546,6418.538967
,,,,,,,,427,2811.610899,13179.67085,6251.815722
,,,,,,,,428,2762.753182,12754.31075,6275.844349
,,,,,,,,429,2685.500288,11727.43215,6327.428614
,,,,,,,,430,2447.34126,10272.03571,5786.468285
,,,,,,,,431,2162.313081,8905.566098,5419.859907
,,,,,,,,432,2095.019825,7942.788126,5550.463894
,,,,,,,,433,2016.249157,7342.280071,5081.161155
,,,,,,,,434,1772.180795,6885.401122,5224.118538
,,,,,,,,435,1593.426297,6629.314911,5030.181879
,,,,,,,,436,1533.264987,6627.825294,4934.017926
,,,,,,,,437,1514.967462,6816.577921,5020.465575
,,,,,,,,438,1589.820066,7419.453771,5440.257167
,,,,,,,,439,1819.90852,8778.985943,6160.523459
,,,,,,,,440,2097.144371,10877.90629,6682.558906
,,,,,,,,441,2092.562218,12316.57519,7096.544227
,,,,,,,,442,2117.749842,13200.9984,7204.485739
,,,,,,,,443,2107.500159,13731.41773,7325.347339
,,,,,,,,444,1896.445654,14078.38478,7163.577691
,,,,,,,,445,1843.328527,14403.52814,7008.486207
,,,,,,,,446,1808.788266,14800.31597,7007.567119
,,,,,,,,447,1707.787239,15110.12096,7099.885583
,,,,,,,,448,1650.252436,15239.8787,7237.292785
,,,,,,,,449,1632.598472,15065.87656,7470.127421
,,,,,,,,450,1550.492104,14538.39264,7450.209094
,,,,,,,,451,1533.416905,14093.69028,7270.280533
,,,,,,,,452,1514.05861,13803.65677,7104.086571
,,,,,,,,453,1581.935699,13259.59875,6903.101504
,,,,,,,,454,1491.535061,12226.1187,6187.603943
,,,,,,,,455,1441.820873,10648.15701,5452.628421
,,,,,,,,456,1547.057341,8869.14641,5290.505139
,,,,,,,,457,1545.149254,7791.965598,4814.170295
,,,,,,,,458,1379.841212,7142.158813,4867.051517
,,,,,,,,459,1344.228691,6835.506524,4587.623787
,,,,,,,,460,1351.759662,6738.007428,4458.248655
,,,,,,,,461,1351.200858,6761.388204,4502.199558
,,,,,,,,462,1380.242118,6824.008376,4571.869096
,,,,,,,,463,1486.497482,7322.925897,4718.566074
